製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
チオビタゴールド２０００,大鵬薬品工業,第2類,解熱鎮痛薬,"滋養強壮
虚弱体質
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給","成人（１５歳以上）１日１回１本（５０ｍＬ）を服用してください
小児（１５歳未満）は服用しないでください
用法・用量を守ってください",15,"アルコール
インヨウカク流エキス
タウリン
チアミン硝化物
ニコチン酸アミド
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
ローヤルゼリーエキス
無水カフェイン",禁止物質なし,,
日水補腎片,健創製薬,第2類,解熱鎮痛薬,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給,"次の１回量を１日３回服用する
成人（１５歳以上）：１回２錠
１５歳未満：服用しないこと",15,"オウギ乾燥エキス
カイクジンチンキ
カイバ末
サンシュユ軟エキス
サンヤク流エキス
ジオウ乾燥エキス
チアミン塩化物塩酸塩
ニンジン乾燥エキス
ブクリョウ軟エキス
ロクジョウ流エキス",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S1. たんぱく同化剤",
新龍天ビタオール液,日野薬品工業,第2類,解熱鎮痛薬,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給,"大人（１５歳以上）１回１瓶（５０ｍＬ）を１日１回服用してください
定められた用法・用量をお守りください",,"アルコール
イカリソウ流エキス
コンドロイチン硫酸ナトリウム
ゴオウ抽出液
タウリン
チアミン硝化物
トチュウ流エキス
ニコチン酸アミド
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
ロクジョウ抽出液
人参乾燥エキス
無水カフェイン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S2. ペプチドホルモン、成長因子並びにそれらの関連物質及び擬似物質",
アプタスＺ,ゼネル薬工粉河,第2類,解熱鎮痛薬,滋養強壮、虚弱体質、肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・妊娠授乳期などの場合の栄養補給,"成人は１日１回、１回１瓶（５０ｍＬ）を服用してください
１．用法及び用量を厳守してください
２．本剤は生薬成分を配合した内服液ですので、まれに沈殿を生じることがありますよく振ってから服用してください",,"アルコール
イカリソウエキス−Ａ
エゾウコギエキス
セイヨウサンザシエキス
チアミン塩化物塩酸塩
トコフェロール酢酸エステル
ピリドキシン塩酸塩
リボフラビンリン酸エステルナトリウム
反鼻流エキス
無水カフェイン
蛇床子乾燥エキス
黄精流エキス−Ｎ",禁止物質なし,,
ナンパオ源気,田辺三菱製薬,第2類,解熱鎮痛薬,"滋養強壮
肉体疲労・発熱性消耗性疾患・食欲不振・栄養障害・病中病後・妊娠授乳期などの場合の栄養補給
虚弱体質","成人（１５歳以上）１日１回１瓶（５０ｍＬ）を服用してください
＜用法・用量に関連する注意＞
用法・用量を厳守してください",,"アルコール
オウギ流エキス
カイバチンキ
タウリン
トウキ流エキス
トチュウ流エキス
ニクジュヨウ流エキス
ニンジン流エキス
ハゲキテン流エキス
ビタミンＢ２リン酸エステル
ビタミンＢ６
ビャクジュツエキス
ブクリョウ流エキス
ロクジョウチンキ
無水カフェイン",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S2. ペプチドホルモン、成長因子並びにそれらの関連物質及び擬似物質",
サモンＧＸ,ジェーピーエス製薬,第2類,解熱鎮痛薬,"滋養強壮
虚弱体質
肉体疲労・食欲不振・栄養障害・発熱性消耗性疾患・病中病後・妊娠授乳期などの場合の栄養補給","次の量を水又はぬるま湯で服用してください
朝・夜なるべく食後に服用してください
成人（１５歳以上）：１回２錠
１日２回服用
１５歳未満：服用しないこと
＜注意＞
１．定められた用法・用量を厳守してください
２．ぬれた手等で触れた錠剤はびんに戻さないでください（変色等の原因となり、品質が変わることがあります）
３．びんの中の包装紙に包まれた物は乾燥剤ですので服用しないでください",15,"アスコルビン酸カルシウム
イカリソウ乾燥エキス−Ａ
オウギ末
オキソアミヂン末
カシュウ乾燥エキス−Ａ
カルニチン塩酸塩
ニコチン酸アミド
ニンジン乾燥エキス−Ａ
パントテン酸カルシウム
ピリドキシン塩酸塩
リボフラビン酪酸エステル
レマネジン８５５
塩酸ジセチアミン
酢酸ｄ−α−トコフェロール
ＤＬ−メチオニン
Ｌ−アルギニン塩酸塩
Ｌ−トレオニン",禁止物質なし,,
撫滋快３０００,ドルド製薬,第2類,解熱鎮痛薬,"滋養強壮
虚弱体質
肉体疲労・病中病後・食欲不振・栄養障害・発熱性消耗性疾患・産前産後などの場合の栄養補給","成人（１５歳以上）１日１回１本（１００ｍＬ）を服用してください
１５歳未満は服用しないでください
１．用法・用量を厳守してください
２．本剤は生薬を配合していますので、まれに沈殿又は浮遊を生じることがありますが、薬効にはかわりありませんので、よく振ってから服用してください",15,"アルコール
イカリソウエキス
タウリン
ニコチン酸アミド
ハゲキテン流エキス
ピリドキシン塩酸塩
リボフラビン
無水カフェイン",禁止物質なし,,
喜谷實母散,ウチダ和漢薬,第2類,解熱鎮痛薬,更年期障害、血の道症、月経不順、冷え症及びそれらに随伴する次の諸症状：月経痛、腰痛、頭痛、のぼせ、肩こり、めまい、動悸、息切れ、手足のしびれ、こしけ、血色不良、便秘、むくみ,"成人（１５歳以上）１日１包を次のように４回服用してください
１回目及び２回目は、約１合（１８０ｍＬ）の熱湯を加えて振り出し、朝・昼の食前に温服してください
３回目及び４回目は、水１合５勺（２７０ｍＬ）を加え半量に煎じつめたものを、夕食前及び就寝前に分けて温服してください
＜用法・用量に関連する注意＞
１５歳未満は服用しないでください
食前とは食事の３０分ほど前のことをいいます",15,"オウゴン
オウレン
カンゾウ
ケイヒ
センキュウ
センコツ
チョウジ
トウキ
ビャクジュツ
ビンロウジ
モッコウ",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
女性保健薬命の母Ａ《パウチ》,小林製薬,第2類,解熱鎮痛薬,更年期障害、更年期神経症、血の道症、のぼせ、生理不順、生理異常、生理痛、肩こり、冷え症、肌荒れ、めまい、耳鳴り、動悸、貧血、にきび、便秘、ヒステリー、帯下、産前産後、下腹腰痛、血圧異常、頭痛、頭重,"１回４錠、１日３回毎食後に服用する
１５歳未満は服用しないこと",15,"カノコソウ末
ケイヒ末
コウカ
コウブシ末
ゴシュユ
シアノコバラミン
シャクヤク末
センキュウ末
ソウジュツ末
タウリン
ダイオウ末
チアミン塩化物塩酸塩
トウキ末
ニンジン末
ハンゲ
パントテン酸カルシウム
ビオチン
ピリドキシン塩酸塩
ブクリョウ末
リボフラビン
リン酸水素カルシウム水和物
精製大豆レシチン
葉酸
ｄｌ−α−トコフェロールコハク酸エステル",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
女性薬命の母ホワイト《パウチ》,小林製薬,第2類,解熱鎮痛薬,月経痛、月経不順、ヒステリー、腰痛、頭痛、貧血、冷え症、血の道症、肩こり、めまい、動悸、こしけ,"１回４錠、１日３回毎食後に水又はお湯で服用してください
＜用法・用量に関連する注意＞
定められた用法・用量を厳守すること
１５歳未満は服用しないこと",15,"ケイヒ末
シャクヤク末
センキュウ末
ソウジュツ末
タクシャ末
ダイオウ末
トウキ末
トウニン末
ニンジン末
ブクリョウ末
ボタンピ末",禁止物質なし,,
女性保健薬命の母Ａ《ボトル》,小林製薬,第2類,解熱鎮痛薬,更年期障害、更年期神経症、血の道症、のぼせ、生理不順、生理異常、生理痛、肩こり、冷え症、肌荒れ、めまい、耳鳴り、動悸、貧血、にきび、便秘、ヒステリー、帯下、産前産後、下腹腰痛、血圧異常、頭痛、頭重,"１回４錠、１日３回毎食後に水又はお湯で服用してください
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
１５歳未満は服用しないこと",15,"カノコソウ末
ケイヒ末
コウカ
コウブシ末
ゴシュユ
シアノコバラミン
シャクヤク末
センキュウ末
ソウジュツ末
タウリン
ダイオウ末
チアミン塩化物塩酸塩
トウキ末
ニンジン末
ハンゲ
パントテン酸カルシウム
ビオチン
ピリドキシン塩酸塩
ブクリョウ末
リボフラビン
リン酸水素カルシウム水和物
精製大豆レシチン
葉酸
ｄｌ−α−トコフェロールコハク酸エステル",禁止物質あり,"常に禁止（競技会検査及び競技会外検査）セクション	：S3. ベータ−２作用剤",
女性薬命の母ホワイト《瓶》,小林製薬,第2類,解熱鎮痛薬,月経痛、月経不順、ヒステリー、腰痛、頭痛、貧血、冷え症、血の道症、肩こり、めまい、動悸、こしけ,"１回４錠、１日３回毎食後に水又はお湯で服用してください
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
１５歳未満は服用しないこと",15,"ケイヒ末
シャクヤク末
センキュウ末
ソウジュツ末
タクシャ末
ダイオウ末
トウキ末
トウニン末
ニンジン末
ブクリョウ末
ボタンピ末",禁止物質なし,,
婦人華（顆粒）,ジェーピーエス製薬,第2類,解熱鎮痛薬,月経不順、月経痛、血の道症、こしけ、冷え症、のぼせ、貧血、めまい、腰痛、頭痛、肩こり、更年期障害,"次の量を食前又は食間に水又はお湯にて服用してください
成人（１５歳以上）：１回１包
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．食間とは食後２～３時間を指します",15,"カンゾウ
ケイヒ
サフラン
シャクヤク
センキュウ
タクシャ
トウキ
トウニン
トコフェロール酢酸エステル
ニンジン
ビャクジュツ
ブクリョウ
ボタンピ",禁止物質なし,,
